fixed tweet,tweet length,number of words,number of lines,number of short words,upload hour,tweet source code,included media(?),number of user mentions,number of links,number of hashtags,emojis,pcfg rules,negativity score,neutrality score,positivity score,part of speech tagging
"Let's gooooooooo Los Angeles Ca....Its going down tomorrow night at the Legendary Hollywood Bowl in Los Angeles Ca. I'm bringing the funny damn it. My ""Irresponsible Tour"" is finally here LA get to tickets ",206,34,1,18,17,1,0,0,1,0,,"{""NP"": {""NNP#POS"": 1, ""NP#NNP#NNP#NNP#NNP"": 1, ""PRP$#VBG#JJ#NN#NN"": 1, ""DT#NNP#NNP#NNP"": 1, ""NNP#NNP#NNP"": 1, ""NP#PP#PP"": 1, ""NP#:#NP#."": 1, ""DT#JJ#NN"": 1, ""PRP$#``#NN#NN"": 1}, ""ROOT"": {""NP"": 1}, ""VP"": {""VBG#NP#NP"": 1, ""VBP#VP"": 1, ""VBP#PP"": 1, ""VBZ#ADVP#ADVP#SBAR"": 1}, ""SBAR"": {""S"": 1}}",0.142,0.785,0.073,"{""L"": 3, ""V"": 5, ""^"": 8, "","": 5, ""T"": 1, ""N"": 5, ""P"": 3, ""D"": 3, ""A"": 3, ""!"": 1, ""O"": 1, ""R"": 2}"
,0,0,0,0,5,1,0,0,1,1,,{},0.0,0.0,0.0,{}
,0,0,0,0,5,1,0,0,1,1,,{},0.0,0.0,0.0,{}
It's Showtime Regina Saskatchewan.....Let's ,44,4,1,1,0,7,0,0,1,0,,"{""NP"": {""NNP#NNP#NNP"": 1, ""NP#:#VP"": 1}, ""VP"": {""VBZ#NP"": 1}}",0.0,1.0,0.0,"{""L"": 2, ""^"": 3, "","": 1}"
Nobody Knows what you are capable of more than YOU!!!!! Compete against you and nobody else damn it!!!!,103,18,1,10,19,1,0,0,0,0,,"{""NP"": {""NN#NNS"": 1, ""QP#NNP#NNP"": 1, ""NN#RB"": 1}, ""WHNP"": {""WP"": 1}, ""QP"": {""JJR#IN#CD"": 1}, ""ADJP"": {""JJ#PP"": 1, ""RB#SBAR"": 1}, ""VP"": {""VBP#ADJP"": 1, ""VBZ"": 1}, ""SBAR"": {""WHNP#S"": 1, ""S"": 1}, ""FRAG"": {""NP#SBAR"": 1, ""NP#ADJP"": 1, ""FRAG#CC#FRAG"": 1}, ""ROOT"": {""FRAG"": 1}}",0.172,0.712,0.116,"{""N"": 2, ""V"": 3, ""O"": 5, ""A"": 3, ""P"": 3, "","": 2, ""&"": 1, ""R"": 1}"
Sunday Morning motivation & inspiration!!!!! ,45,5,1,1,17,7,0,0,1,0,,"{""NP"": {""NN#NN"": 1, ""NN#NNS"": 1, ""NP#CC#NP"": 1, ""NP#NP"": 1}, ""ROOT"": {""NP"": 1}}",0.0,0.457,0.543,"{""^"": 1, ""N"": 3, ""&"": 1, "","": 1}"
"Los Angeles Ca....HISTORY will be made next week on June 7th at the ""Hollywood Bowl"" damn it....If you don't have your tickets you need to get them NOOOOOWWW!!!! ",162,28,1,20,15,1,0,0,1,0,,"{""NP"": {""JJ#NN"": 1, ""NNP#CD"": 1, ""DT#``#NNP#NNP"": 1, ""PRP$#NNS"": 1}, ""VP"": {""MD"": 1, ""VBG#NP"": 1, ""VBN#NP#PP#PP#S"": 1, ""VB#VP"": 1, ""MD#VP"": 1, ""VBP#RB#VP"": 1, ""VB#S"": 1, ""VBP#S"": 1}, ""S"": {""NP#NP"": 1, ""SBAR#NP#VP"": 1, ""S#:#S"": 2}, ""SBAR"": {""IN#S"": 1}}",0.125,0.875,0.0,"{""^"": 5, "","": 5, ""N"": 4, ""V"": 7, ""A"": 1, ""P"": 4, ""$"": 1, ""D"": 2, ""!"": 1, ""O"": 4, ""R"": 1}"
"Mpho will definitely be coming your way on my ""Irresponsible Tour""",66,11,1,7,14,1,0,0,1,0,,"{""NP"": {""PRP$#``#JJ#NN"": 1}, ""VP"": {""VBG#NP#PP"": 1, ""VB#VP"": 1, ""MD#ADVP#VP"": 1}}",0.199,0.616,0.185,"{""^"": 1, ""V"": 3, ""R"": 1, ""D"": 2, ""N"": 2, ""P"": 1, "","": 2, ""A"": 1}"
,0,0,0,0,14,1,0,0,1,1,,{},0.0,0.0,0.0,{}
,0,0,0,0,14,1,0,0,1,1,,{},0.0,0.0,0.0,{}
It's showtime Saskatoon Saskatchewan ....Lets ,46,5,1,1,1,7,0,0,1,0,,"{""NP"": {""PRP#POS"": 1, ""NP#JJ#NNP#NNP"": 1, ""NP#:#NP"": 1}, ""ROOT"": {""NP"": 1}}",0.0,1.0,0.0,"{""L"": 2, ""^"": 3, "","": 1}"
  ,2,0,1,0,20,7,0,0,1,2,,{},0.0,0.0,0.0,{}
Lets goooooooo Saskatoon SK .....Im on my way damn it. Get yo tickets NOOOOOOWWWW ,82,14,1,9,18,1,0,0,1,0,,"{""NP"": {""NNP#NNP#NNP"": 1, ""PRP$#NN#NN"": 1, ""NN#NNS"": 1}, ""S"": {""NP#NP"": 2, ""S#:#S#."": 1}, ""VP"": {""VB"": 1, ""VB#S"": 1}}",0.172,0.828,0.0,"{""L"": 2, ""V"": 2, ""^"": 2, "","": 2, ""P"": 1, ""D"": 2, ""N"": 2, ""R"": 2, ""O"": 1}"
    ,4,0,1,0,16,7,0,0,1,3,😂:5,{},0.0,0.0,0.0,{}
 ,1,0,1,0,16,7,0,0,1,1,,{},0.0,0.0,0.0,{}
