fixed tweet,tweet length,number of words,number of lines,number of short words,upload hour,tweet source code,included media(?),number of user mentions,number of links,number of hashtags,emojis,pcfg rules,negativity score,neutrality score,positivity score,part of speech tagging
Ok but @ the same time when I tell my man to go to the gym & bulk up he do what I say  is there a double standard yall? Cuz yall know we tell our men what to do all the time if thats what turns us on.,200,49,1,43,16,1,0,0,0,0,🏽:1,"{""WHADVP"": {""WRB"": 2}, ""X"": {""SYM"": 1}, ""NP"": {""DT#JJ#NN"": 1, ""NP#CC#NP"": 1, ""PRP$#NN#S"": 1, ""NP#SBAR"": 3, ""EX"": 1, ""DT#JJ#JJ#NN"": 1, ""PRP$#NNS"": 1, ""PDT#DT#NN"": 1}, ""VP"": {""VB#PP#PP"": 1, ""VBP#NP"": 1, ""VBP"": 1, ""VBP#SBAR"": 1, ""VBZ#NP#PRT"": 1, ""VB#NP#PP"": 1, ""VBP#S"": 1}, ""SBAR"": {""WHADVP#S"": 1, ""WHNP#S"": 3, ""X#S"": 1}, ""WHNP"": {""WP"": 3}, ""PRN"": {""CC#SBAR"": 1}, ""SQ"": {""VBZ#NP#NP"": 1}, ""SBARQ"": {""WHADVP#PRN#SQ#."": 1}, ""ROOT"": {""SBARQ"": 1}, ""PRT"": {""RP"": 1}}",0.0,0.964,0.036,"{""!"": 1, ""&"": 2, ""P"": 8, ""D"": 6, ""A"": 2, ""N"": 8, ""R"": 1, ""O"": 9, ""V"": 9, ""X"": 2, "","": 2, ""L"": 1}"
"I have a real question.  Take this poll. Ladies, should we be the weight WE want to be or the weight our partner wants us to be? If ur partner likes u thicker should u take that into consideration or?",200,40,1,27,16,1,0,0,0,0,,"{""NP"": {""DT#JJ#NN"": 1, ""NP#SBAR"": 2, ""NP#CC#NP"": 1, ""NN#NN"": 1, ""NN#JJR"": 1, ""DT"": 1}, ""VP"": {""VBP#NP"": 1, ""VB"": 2, ""VBP#S"": 1, ""VBZ#S"": 1, ""VBZ#NP"": 1, ""VB#NP#PP#ADVP"": 1, ""MD#ADVP#VP"": 1}, ""S"": {""VP#."": 1, ""SBAR#VP#."": 1}, ""ROOT"": {""SQ"": 1}, ""INTJ"": {""UH"": 1}, ""SBAR"": {""S"": 2, ""IN#S"": 1}, ""SQ"": {""INTJ#,#MD#NP#VP#."": 1}, ""ADVP"": {""CC"": 1}}",0.0,0.884,0.116,"{""O"": 7, ""V"": 11, ""D"": 6, ""A"": 2, ""N"": 8, "","": 5, ""P"": 4, ""&"": 2}"
Oh hey boos,11,3,1,3,14,1,0,0,0,0,,"{""NP"": {""JJ#NN#NNS"": 1}, ""ROOT"": {""NP"": 1}}",0.0,1.0,0.0,"{""!"": 2, ""N"": 1}"
,0,0,0,0,22,1,0,0,1,0,😂:1,{},0.0,0.0,0.0,{}
so true. I was right on the verge of losing my voice & it was mad late so I was already sounding like a man. But once I heard the song I fell in love. Wrote it b4 I went to sleep. None of that was planned. I had no idea meg was on live or that she would want to go live 2gthr,275,64,1,50,22,1,0,0,1,0,,"{""ADJP"": {""RB#JJ"": 1, ""JJ"": 1, ""JJ#PP"": 1}, ""FRAG"": {""ADJP#."": 1}, ""ROOT"": {""FRAG"": 1}, ""NP"": {""NP#CC#NP"": 1, ""DT"": 1, ""DT#NN#NN"": 1, ""JJ"": 1, ""JJ#NNS"": 1}, ""PP"": {""IN#S"": 1}, ""VP"": {""VBG#PP"": 1, ""VBD#ADVP#VP"": 1, ""VBD#ADJP#SBAR"": 1, ""VBG#SBAR"": 1, ""VBD#ADJP"": 1, ""VBD#NP"": 1, ""VBD#PP"": 2, ""VB"": 1, ""VBD#S"": 1, ""VBD#SBAR"": 1, ""VBN"": 1, ""VBD#VP"": 1, ""VB#S"": 1, ""MD#VP"": 1, ""VBD#NP#SBAR"": 1}, ""S"": {""CC#SBAR#NP#VP#."": 1, ""ADVP#NP#VP#."": 1}, ""SBAR"": {""ADVP#IN#S"": 1, ""S"": 3, ""IN#S"": 2, ""SBAR#CC#SBAR"": 1}}",0.1,0.734,0.165,"{""R"": 6, ""A"": 4, "","": 5, ""O"": 10, ""V"": 17, ""P"": 11, ""D"": 5, ""N"": 7, ""&"": 3, ""^"": 1}"
 Yall know damn well that made it on the track some how some way!   8/9   love to everyone supporting. ,103,19,1,16,22,1,0,0,1,4,😂:1,"{""NP"": {""DT"": 1, ""NP#FRAG"": 1, ""CD"": 1, ""NP#VP"": 1}, ""ADVP"": {""RB#RB"": 1, ""ADVP#SBAR"": 1}, ""WHNP"": {""WDT"": 1}, ""WHADVP"": {""WRB#NP"": 1}, ""FRAG"": {""WHADVP"": 1}, ""PP"": {""IN#NP#NP"": 1}, ""VP"": {""VBD#NP#PP"": 1, ""VBP#ADVP"": 1, ""VBG"": 1, ""VBP#PP"": 1}, ""SBAR"": {""WHNP#S"": 1}}",0.099,0.552,0.349,"{""O"": 3, ""V"": 3, ""!"": 2, ""P"": 2, ""D"": 3, ""N"": 4, ""R"": 1, "","": 2, ""$"": 1}"
Those who know me never doubt me. And those who doubt me never knew me.,71,15,1,9,20,1,0,0,0,0,,"{""NP"": {""DT"": 2, ""NP#SBAR"": 2}, ""WHNP"": {""WP"": 2}, ""VP"": {""VBP#NP"": 2, ""VBP#NP#ADVP"": 1, ""VBD#NP"": 1}, ""S"": {""NP#ADVP#VP#."": 1, ""CC#NP#VP#."": 1}, ""SBAR"": {""WHNP#S"": 2}}",0.0,0.755,0.245,"{""O"": 8, ""V"": 4, ""R"": 2, "","": 2, ""&"": 1}"
Stream  on SPOTIFY,18,3,1,1,20,1,0,0,0,1,,"{""ROOT"": {""NP"": 1}}",0.0,1.0,0.0,"{""N"": 1, ""P"": 1, ""^"": 1}"
No. I said next Monday but that was tentative anyway. Gonna chill on it for now,79,16,1,11,18,1,0,0,1,0,,"{""INTJ"": {""UH#."": 1}, ""ROOT"": {""INTJ"": 1}, ""NP"": {""JJ#NNP"": 1, ""DT"": 1, ""RB"": 1}, ""ADJP"": {""JJ"": 1}, ""VP"": {""VBD#ADJP#ADVP"": 1, ""VBD#NP#SBAR"": 1, ""VB#PP#PP"": 1, ""VB#S"": 1}, ""SBAR"": {""CC#S"": 1}}",0.103,0.897,0.0,"{""!"": 1, "","": 2, ""O"": 3, ""V"": 4, ""A"": 2, ""^"": 1, ""&"": 1, ""R"": 2, ""P"": 2}"
Listen to  by Lil Durk on Spotify,33,7,1,5,18,1,0,1,0,1,,"{""PP"": {""TO"": 1}, ""VP"": {""VB#PP#PP"": 1}}",0.0,1.0,0.0,"{""V"": 1, ""P"": 3, ""^"": 3}"
